identifier,lease,lag_lease,lag_market_value,lag_dividend,lag_loss,lag_cash,lag_tax_rate,lag_big4_auditor
1004,1.716171617,1.300330033,6.953106604,0.007854785,0,0.036105611,0.362751,1
1004,1.664239651,1.802926288,6.736386897,0.007211705,0,0.021635115,0.359671,1
1004,1.16348647,1.595638588,7.090350765,0.006781464,0,0.006847949,0.354971,1
1004,1.416672132,1.147766774,7.346950439,0.006755427,0,0.027284056,0.21,1
1050,0.626733621,0.659965699,5.562565394,0.013321221,1,0.06598488,0.35,0
1050,0.896449099,0.752656257,6.166593423,0.018039283,1,0.094903276,0.35,0
1050,0.625927775,1.019270367,5.178091913,0.017767684,1,0.069531569,0.350041,0
1050,0.805182102,0.699216979,5.459619556,0,1,0.113194186,0.21,0
1072,0.177916767,0.213784788,7.783253724,0.027348755,0,0.343025968,0.063743,1
1072,0.192836059,0.181548905,7.652248612,0.029254894,0,0.393723346,0.171012,1
1072,0.274600965,0.1875747,7.919608304,0.029067418,0,0.446991277,0.267144,1
1072,0.248506603,0.254530326,7.932930083,0.028333195,0,0.309492862,0.21,1
1078,0.351540718,0.395180256,11.09948945,0.03549349,0,0.148495648,0.379077,1
1078,0.423423081,0.275319941,10.94328532,0.02937379,0,0.356491854,0.377889,1
1078,0.285901639,0.292459016,11.50798695,0.025534426,0,0.126032787,0.356479,1
1078,0.354309023,0.324535155,11.75181576,0.030473553,0,0.060828011,0.21,1
1104,1.482418541,1.096768647,4.064833359,0.015192641,0,0.029795753,0.34,0
1104,1.078574066,1.31101601,4.442889463,0.014446158,0,0.064203941,0.338387,0
1104,0.928266365,0.865510329,4.368835006,0.01261222,0,0.081391092,0.350196,0
1104,1.011171296,0.972807074,3.970972336,0.013847657,0,0.040273299,0.21,0
1121,1.960405403,2.556585737,5.087418542,0.015262217,1,0.377760418,0.38050645,1
1121,1.117178133,1.931365242,5.11945203,0.015032081,0,0.353794679,0.378126,1
1121,1.500509367,0.975578697,5.21212202,0.013126804,1,0.386952431,0.061818,1
1121,0.953849464,1.521138882,5.095459047,0.013307276,0,0.419786998,0.21,1
1161,1.576069476,1.640398842,7.728873422,0,1,0.252492763,0.057431,1
1161,1.204456489,1.475459199,9.268882828,0,1,0.380608251,0.166421,1
1161,1.525423729,1.129943503,9.204398755,0,0,0.335310734,0.148298,1
1161,1.185250219,1.185250219,9.82834905,0,0,0.254828797,0.033775,1
1209,0.404287164,0.377908144,10.22105002,0.039448105,0,0.011836152,0.35,1
1209,0.31348136,0.390467065,10.39441295,0.040636267,0,0.0831501,0.35,1
1209,0.3568489,0.306489343,10.40481669,0.043780324,0,0.199142263,0.35,1
1209,0.39158841,0.343617526,10.50971829,0.048586162,0,0.155175381,0.21,1
1210,7.54326215,4.199650221,4.06690142,0,0,0.447418078,0.339998,0
1210,6.242929729,6.285111686,4.048853351,0,0,0.21303806,0.340211,0
1210,4.602433611,4.983546338,3.793020047,0,1,0.088528354,0.267718,0
1210,3.225009522,3.095309171,3.970972336,0,0,0.067917692,0.21,0
1230,6.505433951,3.1379152,9.218094159,0.015613041,0,0.203275677,0.35,1
1230,4.326440474,4.266211604,9.300445524,0.013651877,0,0.15860269,0.35,1
1230,4.497206704,4.013035382,9.110101619,0.013780261,0,0.150931099,0.35,1
1230,3.070014663,4.426319648,8.922172168,0.014479472,0,0.113269795,0.21,1
1254,2.724877231,1.934363397,7.525319169,0.018445323,0,0.01527129,0.346997,1
1254,2.83304391,2.257504341,7.32530112,0.015976185,0,0.006896552,0.189361,1
1254,3.038932147,2.540600667,7.145353851,0.015038932,0,0.008809789,0.350977,1
1254,3.122942725,2.810236998,7.220559628,0.014565504,0,0.010080645,0.21,1
1266,0.143731816,0.144817404,5.82290488,0.004203396,0,0.015979851,0.145606,0
1266,0.091352674,0.144332864,5.408819561,0.004338707,0,0.014444188,0.279369,0
